,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,"Wake Up To A Daily Selection Of  14 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee",,,,,,
Dinner,Spiced Chicken Breast With A Caponato Sauce,Grilled Rump Steaks Served With A Mushroom Sauce,Traditional Beef Lasagne With A Crunchy Mozzarella Topping,Roasted Leg or Lamb or Roast Turkey with Cranberry Sauce,Mexican Night,Lemon Chicken With Oregano And  Herb Seasoning,Mild Beef Rendang With And Saffron Rice
Vegetarian,"Roasted Vegetable, Broad Bean And Ricotta Fritter","Filled Mushrooms With Rice, Vegetables And Lentils","Potato And Spinach Gnocchi With Lemon, Thyme And Oregano Sauce",Lentil and Potato Stew with Broad Beans,Mexican Night,Spinach And Cannellini Risotto Cakes With A Tomato Jam,Vegetable Nasi Goreng With Fried Onion Flakes
Vegetables,"Mashed Potatoes Sesame Honey Pumpkin, Peas & Bean Medley",Steamed Broccoli With Red Peppers           Season Baked Potatoes Baton Carrots,Medley Of Beans      Corn Kernels  With Shallots             Pumpkin Chunks With Rosemary,"Baked Herb Potatoes
Sesame Honey Pumpkin Wedges
Steamed Greens",Mexican Night,"Potato Wedges with Sour Cream and Sweet Chilli,
Steamed Broccoli, Honey Baked Pumpkin","Honey Carrots           Green Beans
Tossed Asian Greens With Baby Corn And Bean Shoots"
,"Daily Special Salad, Fresh  Green Garden Salad, Compound Salads  Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, 
Assorted Milks And Juices",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
