,Monday ,Tuesday ,Wednesday ,Thursday ,Friday ,Saturday ,Sunday 
Breakfast ,"Wake Up To A Daily Selection Of 10 Varieties Of Cereals, Full Cream & Low Fat Milk, Soya Milk, Assorted Breads For Toasting Including Muffins & Crumpets, Hi Fibre Options, Spreads, Preserves, Poached And Fresh Fruit Pieces Accompanied By 100% Fruit Juice, Tea, Coffee ",,,,,,
Dinner ,Seared Chicken Breast With A Spinach And Seeded Mustard Sauce ,Roasted Beef Rump With A Brown Onion Gravy Or Quarter Chicken ,Pizza & Pasta Night ,Grilled Rump Steak With A Mushroom Sauce ,Beef Ravioli With A Tomato Napoli Sauce ,Lamb Rogan Josh Served With Basmati Rice And Poppadums ,Grilled Chicken With A Peri Peri Sauce 
Vegetarian ,"Filled Peppers With Rice, Quinoa And Vegetables ",Grilled Vegetables With Chick Peas In Potato Shells ,Pizza & Pasta Night ,"Spinach, Vegetable & Tofu Triangles ",Spinach And Ricotta Ravioli With A Cream Pesto Sauce ,Vegetable Biryani With Chick Peas Served With Naan Bread ,"Zucchini, Potato And Sun Dried Tomato Risotto Cakes With Lentils "
Vegetables ,Mashed Potato Carrot Batons Butter Beans With Shallots ,Baked Potatoes Sesame Pumpkin Pieces Green Beans ,Roasted Zucchini Wedges Peas & Corn Medley ,"Mashed Potatoes 
Medley Of Beans Honey Carrots With Parsley ",Garlic Bread Grilled Zucchinis Butter Beans With Red Peppers ,Asian Greens With Bean Shoots Honey Carrot Rings Minted Peas ,Green Beans With Zucchini Corn Carrot Rings 
,"Daily Special Salad, Fresh Green Garden Salad, Compound Salads Plus A Daily Selection Of Whole Meal, Multi-grain And High Fiber White Breads, Butter, Margarine And Spreads, Assorted Milks And Juices ",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
